"#","Page / tool","Type","Target audience","Target city","User problem solved","Monetisation opportunity","Source requirements","Expected maintenance frequency"
"1","DTV visa 2026 complete guide (500k seasoning, document pack, embassy table, extension, common rejections)","Long-form guide","Digital nomads (DTV)","All / Chiang Mai focus","Confusion about eligibility, documents, where to apply, and rejection causes","Visa/legal lead-gen; drives paid pack","thaievisa.go.th; ltr.boi.go.th; MFA embassy pages; Siam Legal/ExpatDen secondary [LEGAL-RISK]","High - re-check monthly; rules shift by post"
"2","Visa comparator tool (DTV vs LTR vs Privilege vs retirement O/O-A)","Interactive tool","All","All","Cannot tell which visa fits finances, work, tax and family situation","Email gate; paid pack; lead-gen","thaievisa.go.th; ltr.boi.go.th; thailandprivilege.co.th; retirement/consulate sources [LEGAL-RISK]","High - quarterly review; visa rules change"
"3","180-day tax-residency tracker + plain-English explainer","Tool + guide","Digital nomads; retirees","All","Risk of crossing tax-residency without realising; remittance confusion","Tax/accountant lead-gen; paid pack","rd.go.th (Revenue Dept); BOI LTR exemption; reputable tax advisers [LEGAL-RISK - no personalised advice]","High - re-check at each budget/rule change"
"4","Thai bank account by visa type 2026 (DTV exclusion; workarounds incl. Wise/eSIM-first)","Guide + checker tool","Digital nomads; new arrivals","All","DTV/tourist holders rejected at banks; waste multiple branch visits","Wise/transfer referral; lead-gen","Kasikorn official terms; bot.or.th; Bangkok Bank/SCB; MBMG/Statrys secondary [LEGAL-RISK]","High - bank KYC policy changes quarterly"
"5","Chiang Mai: where to live (Nimman vs Old City vs suburbs; rents; lease/deposit checklist; TM30-ready buildings)","Guide + map","Digital nomads","Chiang Mai","Picking the right neighbourhood; avoiding lease/deposit and TM30 traps","Housing/agent leads; coliving/Booking links","immigration.go.th (TM30); DDproperty/FazWaz/Hipflat listings; current rent quotes","Medium - rents/prices update 2-3x/yr"
"6","Thailand cost-of-living calculator (city x persona sliders: rent, food, insurance, visa, transport)","Interactive tool","All","All","No trustworthy budget tailored to persona + city","Email gate; paid pack; sponsored listings","Numbeo/LivingCost (directional); current listings; bot.or.th FX","Medium - refresh benchmark data quarterly"
"7","First-30-days arrival checklist (TDAC, TM30, SIM/eSIM, transport apps, bank, hospital registration)","Checklist/tool","All (new arrivals)","All (Chiang Mai first)","Jet-lagged newcomers miss mandatory steps and deadlines","eSIM/VPN affiliate; paid pack","tdac.immigration.go.th; tm30.immigration.go.th; nbtc.go.th; app providers [LEGAL-RISK]","Medium - re-verify steps each quarter"
"8","Chiang Mai burning-season survival + escape planner (AQI data, dates, purifiers, where/when to escape incl. Hua Hin)","Guide + tool (AQI)","Digital nomads; families; retirees","Chiang Mai -> Hua Hin","Hazardous air forces annual relocation; no costed plan","Booking/Agoda for escape stays; cross-link Hua Hin","air4thai.pcd.go.th (PCD); tmd.go.th; IQAir secondary","High during season - update Nov and Feb annually"
"9","Health insurance: nomads vs retirees (SafetyWing/Genki vs O-A-compliant; pre-existing; over-65)","Guide + comparison","Digital nomads; retirees","All","Buying wrong/insufficient cover; O-A visa requires approved cover; age cost shock","Core: insurance affiliate (nomad) + broker lead-gen (retiree)","oic.or.th; longstay.tgia.org; insurer terms; itsbetterinthailand comparison [LEGAL-RISK]","High - premiums/insurer lists change; review quarterly"
"10","Hua Hin: retiree relocation & cost guide (budgets, hospitals, clubs/community, Bangkok access, golf, drawbacks)","Long-form guide","Retirees","Hua Hin","Under-covered city; retirees need realistic costs, healthcare and community info","Insurance + property/agent leads","tmd/railway.co.th travel; oic/tgia insurance; hospital sites; current rents; community clubs","Medium - refresh 2-3x/yr"
"11","TM30 / TDAC / 90-day reporting survival guide (who files, deadlines, portals, fines, landlord issues)","Guide + reminder tool","All long-stayers","All","Missing address/arrival/report obligations blocks extensions","Visa/legal lead-gen; paid pack","immigration.go.th; tm30/tm47/tdac.immigration.go.th [LEGAL-RISK]","Medium-high - re-verify quarterly"
"12","Connectivity guide: best tourist SIM, eSIM, VPN (AIS/True vs Airalo/Nomad; registration; why VPN)","Guide","Digital nomads; new arrivals","All","Need reliable internet/phone on day one; security on public Wi-Fi","Core: eSIM + VPN affiliate","nbtc.go.th; AIS/True operator pages; Airalo/Nomad/VPN programs","Medium - plans/prices change; review 2x/yr"
"13","Renting in Thailand without getting burned (deposits, contract red flags, farang pricing, scams, TM30-ready landlords)","Guide + checklist","All","All (Chiang Mai/Hua Hin)","Deposits withheld; unfair contracts; landlords who won't file TM30","Housing/agent leads; paid pack","immigration.go.th (TM30); dol.go.th (tenure context); listings platforms","Medium - refresh annually"
"14","Thailand healthcare map by city (public vs private, hospitals per city, typical costs, what insurance pays)","Guide + directory","Retirees; families; nomads","All (CM/Hua Hin focus)","Where to get care; what it costs; what insurance actually covers","Insurance affiliate; clinic sponsored listings","moph.go.th; hss.moph.go.th; oic.or.th; hospital websites","Medium - verify facility/cost data 2x/yr"
"15","'First 90 Days in Thailand - Chiang Mai Edition' paid pack landing page (bundles checklists, trackers, vetted provider list)","Sales page + digital product","Digital nomads (then retirees)","Chiang Mai","Wants one trusted, current, done-for-you plan instead of scattered forums","First paid product (test US$29 vs $49); upsell 1:1 consult","Bundles verified items 1-9; maintain all citations/dates","High - pack must be re-dated each quarter"
