"name","group","status","com","io","app","co","couk","social_signal","clarity","distinctiveness","global_pronunciation","destination_edition_fit","domain_signal","social_handle_signal","conflict_risk_safe","trademark_registrability","conflict_findings","thai_pronunciation_note","source_url","checked_at"
"Relocadi","coined","possible_conflict","free?","free?","free?","free?","free?","unclear","3","5","4","4","5","3","2","2","DNS clean on all TLDs but phonetically/visually close to Relocity (major VC-backed relocation SaaS, relocity.com, Fortune-500 clients) and Relocify (NL relocation startup). 'reloc-' root is crowded in relocation.","re-lo-KAA-di; Thai easy (r/l fluid), but resembles existing reloc- brands","https://www.relocity.com/","2026-08-29"
"Dwello","coined","rejected","REG","REG","?","?","?","unclear","4","3","4","4","1","2","2","2",".com and .io registered (dwello resembles multiple proptech/fintech 'dwelo/dwello' brands); relocation-adjacent property connotation.","dweh-LOH; Thai ok; 'dw' cluster slightly harder","https://dns.google/resolve?name=dwello.com&type=NS","2026-08-29"
"Arrivo","coined","rejected","REG","REG","?","?","free?","unclear","4","2","4","4","1","2","2","2",".com/.io registered; 'arrivo' = Italian for 'arrival' and used by travel/transport brands; near-generic arrival word.","aa-REE-voh; Thai ok (v→w)","https://dns.google/resolve?name=arrivo.com&type=NS","2026-08-29"
"Lumio","coined","rejected","REG","REG","?","?","?","unclear","3","3","4","3","1","2","2","2",".com registered; many existing 'Lumio' products (lighting/tech/games); weak relocation link.","LOO-mioh; Thai easy","https://dns.google/resolve?name=lumio.com&type=NS","2026-08-29"
"Kova","coined","rejected","REG","REG","?","?","?","unclear","2","3","3","3","1","2","2","2",".com/.io registered; several Kova brands; no relocation meaning.","KOH-vah (v→w); Thai ok","https://dns.google/resolve?name=kova.com&type=NS","2026-08-29"
"Rova","coined","rejected","REG","REG","?","?","?","unclear","2","3","4","3","1","2","2","2",".com/.io registered; used by travel/other brands; no clear meaning.","ROH-vah (v→w); Thai ok","https://dns.google/resolve?name=rova.com&type=NS","2026-08-29"
"Tula","coined","rejected","REG","REG","?","?","?","unclear","2","2","4","3","1","1","1","2",".com/.io registered; 'Tula' is an established baby-carrier brand and a common word/name; weak and crowded.","TOO-lah; Thai easy","https://dns.google/resolve?name=tula.com&type=NS","2026-08-29"
"LocalFooting","compound","preliminary_candidate","free?","free?","free?","free?","free?","yt_@localfooting_free","5","4","4","5","5","4","4","4","No in-sector company found in exact-match search; all .com/.io/.app/.co/.co.uk return no NS; YouTube @localfooting 404. 'Get a footing' = establish yourself; local + secure.","LOH-kǝl FUu-ting; Thai easy (f+t+ng all fine; -ing renders -ิง/-ing)","https://dns.google/resolve?name=localfooting.com&type=NS","2026-08-29"
"CityOrienteer","compound","preliminary_candidate","free?","free?","free?","free?","free?","yt_@cityorienteer_free","4","5","3","4","4","4","3","5","All checked TLDs no-NS; YouTube 404. 'Orienteer' alone is used by a US music-PR firm (orienteer.us) and an outdoor navigation app (Barleycorn; orienteer.co) - different sectors, but navigation/app meaning overlaps slightly; professional check needed. Strong ownable metaphor (navigate your new city).","si-tee aw-ri-uhn-TIA; Thai: 'orienteer' 3 syllables, -r/-eer render as -ia/-aa; acceptable but longer","https://www.orienteer.us/","2026-08-29"
"NewHereCo","compound","possible_conflict","free?","free?","free?","free?","free?","yt_@newhereco_TAKEN","5","3","5","5","4","3","3","3","TLDs no-NS, but YouTube @newhereco resolves to an existing channel ('I'm New Here'); 'new here' is a common phrase with many apps/posts, weaker as a mark; the 'Co' suffix helps. Very clear meaning.","nyuu-HIA-koh; Thai very easy","https://www.youtube.com/@newhereco","2026-08-29"
