"source_id","publisher","type","url","covers","confidence","last_checked","notes"
"S1","Thailand-Property","listing_platform","https://www.thailand-property.com/condos-for-rent/bts/on-nut","On Nut rent listings (studio/1BR/2BR)","medium","2026-08-28","Verified-seller listings; dated; use as primary rent source for On Nut."
"S2","Hipflat","listing_aggregator","https://www.hipflat.com/condo-for-rent/bangkok/sathon","Sathorn/Silom rent averages by bedrooms","medium","2026-08-28","Aggregator averages + per-project listings; cross-check per unit."
"S3","I am Koh Chang (cost-to-live guide)","secondary_guide","https://iamkohchang.com/blog/cost-to-live-in-bangkok.html","Bangkok area rent budgets (Sukhumvit/On Nut/Phra Khanong)","low","2026-08-28","Guide/blog; directional - do not use as sole rent source."
"S4","Bangkok.Biz (digital nomad guide)","secondary_guide","https://bangkok.biz/blog/digital-nomad-bangkok-guide","Area rent ranges (Sukhumvit/On Nut/Phra Khanong/Ari)","low","2026-08-28","Secondary guide; corroborate with listings."
"S5","Thailand-Property","listing_platform","https://www.thailand-property.com/condos-for-rent/bts/ari","Ari rent listings (1BR/2BR)","medium","2026-08-28","Verified-seller listings near BTS Ari."
"S6","DDProperty","listing_platform","https://www.ddproperty.com/en/condo-for-rent/in-phaya-thai-th1014","Phaya Thai / Ari rent listings","medium","2026-08-28","Agent listings, dated (Mar 2026 posts)."
"S7","Thailand-Property","listing_platform","https://www.thailand-property.com/condos-for-rent/bangkok/bang-na","Bang Na rent listings","medium","2026-08-28","Verified-seller listings; explicit deposit/lease terms noted."
"S8","Renthub","listing_platform","https://www.renthub.in.th/en/apartment/bang-na","Bang Na local apartments (daily/monthly)","medium","2026-08-28","Cheaper local apartments; daily+monthly rates."
"S9","SuperAgent (Villa Sathorn review)","secondary_guide","https://www.superagent.co/en/blog/villa-sathorn-bangkok-old-school-luxury-condo-reviewed-for-2026-renters","Sathorn older-build rent ranges (1BR/2BR)","low","2026-08-28","Single-building review; narrow source - corroborate."
"S10","Wikipedia (On Nut BTS station)","reference","https://en.wikipedia.org/wiki/On_Nut_BTS_station","On Nut station code E9, Sukhumvit line location","medium","2026-08-28","Station identity/reference only; not schedules."
"S11","Wikivoyage Sukhumvit / Moovit BTS route","reference","https://en.wikivoyage.org/wiki/Bangkok/Sukhumvit","BTS Sukhumvit line station order (Nana..Asok..On Nut..Bang Na)","medium","2026-08-28","Station list/order; stop counts between areas derived from this."
"S12","Thailand-Property (On Nut near BTS)","listing_platform","https://www.thailand-property.com/properties-for-rent/bts/on-nut","On Nut rental + BTS proximity","medium","2026-08-28","Reinforces On Nut BTS access."
"S13","Hipflat (The Address Sathorn / The Bangkok Sathorn)","listing_aggregator","https://www.hipflat.com/projects/the-address-sathorn-mburqs","Sathorn project-level rent ranges/averages","medium","2026-08-28","Project aggregator; average USD/THB by bedrooms."
