"ref_id","scope","item","publish_status_now","source_ids","confidence_now","action_required","review_frequency","last_checked"
"RF-01","All areas","BTS/MRT/ARL lines, stations, interchanges","ok","S10,S11","high","Re-confirm against BTS/MRT official maps; add official operator URLs","semi-annual","2026-08-28"
"RF-02","All areas","Same-line station counts used in commute text","ok","S10,S11","medium","Validate counts on official map; keep counts, not minutes","semi-annual","2026-08-28"
"RF-03","All areas","Door-to-door commute minutes","needs_verification","-","low","Replace with map-derived rush-hour times per origin/destination or remove","quarterly","2026-08-28"
"RF-04","On Nut","Studio rent 10-14k","needs_verification","S1,S3,S4","low","Gather dedicated studio listings (>=2 sources)","quarterly","2026-08-28"
"RF-05","On Nut","1-bed rent 12-22k","ok","S1,S3,S4","medium","Refresh listings sample quarterly","quarterly","2026-08-28"
"RF-06","On Nut","2-bed rent 24-41k","do_not_publish","S1","low","Suppress until a 2nd listings source confirms","quarterly","2026-08-28"
"RF-07","Phra Khanong","Studio + 1-bed rent","needs_verification","S3,S4","low","Get live listings for Phra Khanong (currently guide-only)","quarterly","2026-08-28"
"RF-08","Phra Khanong","2-bed rent","do_not_publish","S4","low","Suppress until sourced","quarterly","2026-08-28"
"RF-09","Phra Khanong","Coworking venue names/prices","needs_verification","-","none","Verify operating venues and rates before naming","semi-annual","2026-08-28"
"RF-10","Ari/Phaya Thai","Studio rent 14-22k","needs_verification","S5,S6","low","Gather dedicated studio listings","quarterly","2026-08-28"
"RF-11","Ari/Phaya Thai","1-bed rent 19-30k","ok","S5,S6","medium","Refresh quarterly","quarterly","2026-08-28"
"RF-12","Ari/Phaya Thai","2-bed rent 26-45k","ok","S5,S6","medium","Refresh quarterly","quarterly","2026-08-28"
"RF-13","Central Sukhumvit","Studio rent 15-25k","needs_verification","S3,S4","low","Confirm with live listings","quarterly","2026-08-28"
"RF-14","Central Sukhumvit","1-bed rent 20-35k","needs_verification","S3,S4,S13","low","Confirm with live listings before publish","quarterly","2026-08-28"
"RF-15","Central Sukhumvit","2-bed rent 40-70k","do_not_publish","S4,S13","low","Suppress until >=2 listing sources","quarterly","2026-08-28"
"RF-16","Sathorn/Silom","Studio rent 16-24k","needs_verification","S2","low","Add a second source","quarterly","2026-08-28"
"RF-17","Sathorn/Silom","1-bed rent 22-40k","needs_verification","S2,S9","low","Narrow wide band with live listings","quarterly","2026-08-28"
"RF-18","Sathorn/Silom","2-bed rent 35-65k","needs_verification","S2,S9","low","Narrow band; project averages skew high-end","quarterly","2026-08-28"
"RF-19","Bang Na","Studio rent 9-13k","needs_verification","S7,S8","low","Confirm studio stock vs local apartments","quarterly","2026-08-28"
"RF-20","Bang Na","1-bed rent 11-18k","ok","S7,S8","medium","Refresh quarterly","quarterly","2026-08-28"
"RF-21","Bang Na","2-bed rent 22-30k","do_not_publish","S7","low","Suppress until 2nd source","quarterly","2026-08-28"
"RF-22","Bang Na","MRT Yellow Line access","needs_verification","-","none","Confirm stations/walk access before naming","semi-annual","2026-08-28"
"RF-23","All areas","Qualitative scores (work/family/noise/convenience)","do_not_publish_as_score","-","unverified","Editorial verification pass before any numeric score; keep null","quarterly","2026-08-28"
"RF-24","All areas","Deposit/lease market-practice note","ok_with_caveat","S7,S2","medium","Keep 'common practice, not a legal rule'; re-check listings","quarterly","2026-08-28"
"RF-25","All areas","Home fibre / coworking price bands","needs_verification","-","low","Use price-basket records; verify per venue/address","semi-annual","2026-08-28"
