"topic","claim supported","official source","URL","date accessed","likely change frequency","risk level"
"Visa (DTV)","DTV is a 5-year multi-entry visa, 180 days/entry, workcation/soft-power, applied from abroad via e-visa; requirements and categories shown on portal","Thai e-Visa, Ministry of Foreign Affairs","https://www.thaievisa.go.th/visa/dtv-visa","2026-08-28","Quarterly / per-embassy variation","High"
"Visa (DTV)","Official DTV eligibility/privileges and 180-day stay framing (note: full DTV detail also on MFA; BOI site covers LTR)","Thai e-Visa (MFA)","https://www.thaievisa.go.th/","2026-08-28","Medium","High"
"Visa (LTR)","LTR 10-year (5+5) visa; 4 categories; overseas-income tax exemption; annual reporting; digital work permit; criteria relaxed 2025","Board of Investment - LTR","https://ltr.boi.go.th/","2026-08-28","Medium (criteria revised 2025)","High"
"Visa (Privilege)","Thailand Privilege/Elite tiers and pricing (Bronze-Reserve); official government-owned program","Thailand Privilege Card Co.","https://www.thailandprivilege.co.th/","2026-08-28","High (tiers/prices restructured 2024; promos 2026)","High"
"Visa (extensions/reporting)","90-day report (TM47) process and forms for long-stay extensions","Thai Immigration Bureau","https://tm47.immigration.go.th/","2026-08-28","Medium","High"
"Visa (address)","TM30 address notification obligation (host/landlord files within 24h)","Thai Immigration Bureau","https://tm30.immigration.go.th/","2026-08-28","Medium","High"
"Visa (arrival)","Thailand Digital Arrival Card required before entry","Thai Immigration Bureau","https://tdac.immigration.go.th/","2026-08-28","Medium","High"
"Visa (retirement)","Retirement (O/O-A) visa and health-insurance criteria as specified by consulates; forms/requirements","Royal Thai Consulate-General / MFA consular","https://www.mfa.go.th/","2026-08-28","Medium (varies by consulate)","High"
"Visa (policy)","Official visa policy announcements and embassy jurisdiction directory","Ministry of Foreign Affairs","https://www.mfa.go.th/","2026-08-28","Medium","High"
"Tax","Tax residency (180-day rule), PND.90/91 filing, deadlines, taxpayer ID; foreign-income/remittance rules","Revenue Department, Ministry of Finance","https://www.rd.go.th/","2026-08-28","High (2024 rule change; enforcement contested)","High"
"Tax (investment incentives)","BOI tax incentives incl. LTR exemptions and 17% skilled-professional rate","Board of Investment","https://www.boi.go.th/","2026-08-28","Medium","High"
"Healthcare (insurance regulator)","OIC regulates insurers; O-A visa insurance must be from approved providers","Office of Insurance Commission","https://www.oic.or.th/","2026-08-28","High (approved lists/minimums change)","High"
"Healthcare (O-A insurer list)","Official list of insurance companies accepted for long-stay (O-A/O-X) visas","Thai General Insurance Association (long-stay list)","http://longstay.tgia.org/","2026-08-28","High","High"
"Healthcare (facilities)","Private hospital/clinic licensing and standards","Health Service Support Dept, MoPH","https://hss.moph.go.th/","2026-08-28","Low","Medium"
"Healthcare (system)","Public health system policy and public hospitals","Ministry of Public Health","https://www.moph.go.th/","2026-08-28","Low","Medium"
"Healthcare (universal cover)","Universal healthcare coverage scope (Thai nationals/insured context)","National Health Security Office","https://www.nhso.go.th/","2026-08-28","Low","Low"
"Banking (regulation/FX)","Banking regulation, foreign-exchange rules, official daily mid-rate","Bank of Thailand","https://www.bot.or.th/English","2026-08-28","Medium","Medium"
"Banking (account eligibility)","Official Kasikorn terms: accounts not opened for tourist/VOA/free-visa/DTV holders; non-immigrant visa required","Kasikorn Bank","https://www.kasikornbank.com/en/personal/account/pages/savings.aspx","2026-08-28","High (policy tightened 2025-26)","High"
"Banking (account eligibility)","Major bank foreign-account policy; condo-ownership account pathway","Bangkok Bank","https://www.bangkokbank.com/","2026-08-28","High (tightened Jan 2026 per advisers)","High"
"Banking (AML)","KYC/AML framework behind account freezes and 'mule account' crackdown","Anti-Money Laundering Office","https://www.amlo.go.th/","2026-08-28","Medium","Medium"
"Telecoms (regulation)","SIM registration/eKYC, spectrum, consumer rules","National Broadcasting and Telecommunications Commission","https://www.nbtc.go.th/","2026-08-28","Medium","Medium"
"Telecoms (plans)","Tourist SIM / postpaid plans and coverage","AIS / TrueMove H-dtac","https://www.ais.th/en/","2026-08-28","High (plans/prices change)","Low"
"Housing (ownership)","Foreign condominium 49% quota; foreigners may not own land; leasehold/title transfer rules","Department of Lands, Ministry of Interior","https://www.dol.go.th/","2026-08-28","Medium","High"
"Housing (company/property)","Company registration; nominee-shareholder enforcement; DBD Order No.2/2568 (1 Jan 2026)","Department of Business Development, Ministry of Commerce","https://www.dbd.go.th/","2026-08-28","High (active 2025-26 crackdown)","High"
"Business setup","Foreign Business Act 49% cap; nominee prohibition (S.36); Foreign Business Licence routes","Department of Business Development / Ministry of Commerce","https://www.dbd.go.th/","2026-08-28","High (enforcement intensified)","High"
"Business setup (investment)","BOI promotion: 100% foreign ownership pathways, tax holidays, eased work permits","Board of Investment","https://www.boi.go.th/","2026-08-28","Medium","High"
"Transport (licences)","Thai driving licence, foreign licence conversion, IDP requirements","Department of Land Transport","https://www.dlt.go.th/","2026-08-28","Medium","High"
"Transport (urban transit)","MRT routes/fares (Bangkok)","Mass Rapid Transit Authority","https://www.mrta.co.th/","2026-08-28","Low","Low"
"Transport (urban transit)","BTS Skytrain routes/fares (Bangkok)","BTS Group","https://www.bts.co.th/","2026-08-28","Low","Low"
"Transport (air)","BKK/DMK/HKT airport and flight information","Airports of Thailand","https://www.airportthai.co.th/","2026-08-28","Low","Low"
"Transport (rail)","Intercity rail services incl. Bangkok-Hua Hin","State Railway of Thailand","https://www.railway.co.th/","2026-08-28","Medium (schedules)","Low"
"Transport (policy)","National transport policy and projects","Office of Transport and Traffic Policy and Planning","https://www.otp.go.th/","2026-08-28","Low","Low"
"Environment (air)","Official real-time AQI / PM2.5 readings for burning-season planning","Pollution Control Department - Air4Thai","http://air4thai.pcd.go.th/","2026-08-28","High (live/seasonal)","High"
"Environment (weather)","Weather, monsoon, flood/storm warnings","Thai Meteorological Department","https://www.tmd.go.th/","2026-08-28","High (live)","Medium"
"Education","Member international-school directory and accreditation","International Schools Association of Thailand","https://www.isat.or.th/","2026-08-28","Low (verify fees per school)","Medium"
"Tourism/arrivals","Tourism policy, long-stay campaigns, arrival statistics","Tourism Authority of Thailand","https://www.tatnews.org/","2026-08-28","Medium","Low"
"Employment","Work permits and foreign-worker rules","Department of Employment, Ministry of Labour","https://www.doe.go.th/","2026-08-28","Medium","High"
