"record_id","scope","category","item","low_thb","typical_thb","high_thb","unit","source_url_1","source_url_2","source_type","checked_at","confidence","review_frequency","publish_status","notes"
"BKK-ACC-01","Bangkok","Accommodation","Studio/1-bed condo, On Nut / Phra Khanong (east Sukhumvit BTS line)","12000","15000","18000","THB/month","https://bangkok.biz/blog/digital-nomad-bangkok-guide","https://www.thailand-property.com/condos-for-rent/bts/on-nut","listing_platform + secondary_guide","2026-08-28","medium","quarterly","ok","Long-term monthly rent; verify on dated listings; deposit/lease terms separate (see arrival)."
"BKK-ACC-02","Bangkok","Accommodation","Modern 1-bed condo, central Sukhumvit (Asok / Phrom Phong / Thonglor / Ekkamai)","18000","25000","35000","THB/month","https://bangkok.biz/blog/digital-nomad-bangkok-guide","https://iamkohchang.com/blog/cost-to-live-in-bangkok.html","secondary_guide + listing cross-check","2026-08-28","medium","quarterly","ok","Wide range by building age/facilities; confirm on listings; street-food vs mall rent varies."
"BKK-ACC-03","Bangkok","Accommodation","Studio/small 1-bed, Ari / Phaya Thai","14000","17000","22000","THB/month","https://bangkok.biz/blog/digital-nomad-bangkok-guide","https://varsoviaestate.com/en/blog/investment-apartments-bangkok-highest-roi-districts-2026-bd8529","secondary_guide + property analysis","2026-08-28","medium","quarterly","ok","Cafe-area premium; verify current listings before quoting."
"BKK-ACC-04","Bangkok","Accommodation","Simple apartment, suburbs / Nonthaburi","8000","10000","12000","THB/month","https://iamkohchang.com/blog/cost-to-live-in-bangkok.html","https://www.numbeo.com/cost-of-living/in/Bangkok","secondary_guide (single main) + directional","2026-08-28","low","quarterly","needs_verification","Only one dated primary source; corroborate with local listings before publish."
"BKK-ACC-05","Bangkok","Accommodation","Premium 1-2 bed, Sukhumvit/Sathorn (Western-comfort)","30000","40000","50000","THB/month","https://bangkok.biz/blog/digital-nomad-bangkok-guide","https://iamkohchang.com/blog/cost-to-live-in-bangkok.html","secondary_guide","2026-08-28","low","quarterly","needs_verification","High variance; treat as indicative ceiling, not a quote."
"BKK-FOOD-01","Bangkok","Food","Mostly street food / food courts (1 person)","8000","10000","13000","THB/month","https://nomadagent.online/thailand/street-food-prices","https://iamkohchang.com/blog/cost-to-live-in-bangkok.html","secondary_guide (multiple)","2026-08-28","medium","quarterly","ok","~300-450 THB/day street-food basis; assumes eating out."
"BKK-FOOD-02","Bangkok","Food","Mix of Thai + Western / cafes (1 person)","12000","16000","20000","THB/month","https://nomadagent.online/thailand/street-food-prices","https://bangkok.biz/blog/digital-nomad-bangkok-guide","secondary_guide (multiple)","2026-08-28","medium","quarterly","ok","Most common remote-worker pattern; grocery/cook mix lowers it."
"BKK-FOOD-03","Bangkok","Food","Mostly Western/imported groceries + dining (1 person)","18000","24000","30000","THB/month","https://iamkohchang.com/blog/cost-to-live-in-bangkok.html","https://globalcostdata.com/cost-of-living/by-country/thailand/bangkok/","secondary_guide + directional","2026-08-28","low","quarterly","needs_verification","Lifestyle-dependent; imported goods carry a premium; verify basket."
"BKK-TRN-01","Bangkok","Transport","BTS/MRT transit-only (regular commuter)","1500","2000","2500","THB/month","https://iamkohchang.com/blog/cost-to-live-in-bangkok.html","https://globalcostdata.com/cost-of-living/by-country/thailand/bangkok/","secondary_guide + directional","2026-08-28","medium","semi-annual","ok","Assumes ~1-2 rail trips/day; fares 16-59 THB (BTS) / 15-45 THB (MRT)."
"BKK-TRN-02","Bangkok","Transport","Transit + regular ride-hail (Grab)","2500","3200","4000","THB/month","https://bangkok.biz/blog/digital-nomad-bangkok-guide","https://www.trip.com/guide/destination/bangkok-metro-map.html","secondary_guide","2026-08-28","low","semi-annual","needs_verification","Ride-hail usage varies greatly; corroborate before publish."
