"destination","country","city","audience","user_problem","proposed_page_or_tool","monetisation_opportunity","source_required","risk_level","review_frequency","priority"
"Thailand","Thailand","—","Remote workers","Cannot tell which visa fits; DTV documents/seasoning confusing","Visa comparator tool + DTV application checklist (country rule page)","Visa/legal lead-gen; pack upsell","thaievisa.go.th; ltr.boi.go.th; thailandprivilege.co.th [LEGAL-RISK]","High","Quarterly","P1"
"Thailand","Thailand","—","Remote workers","Risk crossing 180-day tax residency; remittance rule unclear","180-day tax-residency tracker + plain-English explainer","Tax/accountant lead-gen; planner","rd.go.th; BOI LTR exemption [LEGAL-RISK - no personal advice]","High","Quarterly","P1"
"Thailand","Thailand","—","Remote workers","DTV/tourist holders rejected when opening Thai bank accounts","Banking by visa type guide + eligibility checker (country rules)","Money-transfer affiliate/referral","Kasikorn terms; bot.or.th; Bangkok Bank/SCB [LEGAL-RISK]","High","Quarterly","P1"
"Thailand","Thailand","—","Remote workers","Need day-one phone/internet and secure connection","Connectivity rules/SIM registration overview (country)","eSIM + VPN affiliate","nbtc.go.th; AIS/True operator pages","Low","Semi-annual","P2"
"Thailand","Thailand","—","Retirees","O/O-A retirement visa and insurance requirements confusing","Retirement visa & O-A insurance explainer (country rules)","Insurance broker lead-gen; visa lead-gen","thaievisa.go.th; oic.or.th; longstay.tgia.org [LEGAL-RISK]","High","Quarterly","P2"
"Thailand","Thailand","—","Families","Dependent/guardian visa paperwork for spouse and children","Family & dependent visa checklist (country rules)","Vetted visa/legal lead-gen","thaievisa.go.th; immigration.go.th [LEGAL-RISK]","High","Quarterly","P2"
"Thailand","Thailand","—","Workers/founders","Foreign Business Act / company setup is regulated and risky","Business setup overview (background only; routed to vetted firms)","High-ticket legal/accounting lead-gen","dbd.go.th; boi.go.th [LEGAL-RISK - never DIY advice]","High","Semi-annual","P3"
"Thailand","Thailand","Bangkok","Remote workers","Jet-lagged first week; miss arrival/address/connectivity steps","Bangkok first-7-days arrival checklist (TDAC/TM30, SIM, transit, apps)","eSIM/VPN affiliate; pack upsell","tdac.immigration.go.th; tm30.immigration.go.th; nbtc.go.th","Medium","Quarterly","P1"
"Thailand","Thailand","Bangkok","Remote workers","Don't know where to live/work; rents and leases opaque","Bangkok neighborhoods for remote workers (Sukhumvit/On Nut/Ari/Phra Khanong) + rent bands","Coliving/serviced apartment; property agent leads","Rental listings; BTS/MRT; coworking sites","Low","Semi-annual","P1"
"Thailand","Thailand","Bangkok","Remote workers","Transport overwhelm; cars/scooters unnecessary/risky","Getting around Bangkok: BTS/MRT, Rabbit card, ride apps, Airport Rail Link","Transit/app affiliate; sponsored listings","bts.co.th; mrta.co.th; airportthai.co.th","Low","Semi-annual","P1"
"Thailand","Thailand","Bangkok","Remote workers","Which insurance/clinics; what cover works in Thailand","Nomad health insurance & Bangkok clinic guide (direct billing)","Insurance affiliate (travel/medical)","oic.or.th; longstay.tgia.org; hospital websites","Medium","Quarterly","P2"
"Thailand","Thailand","Bangkok","Remote workers","No trustworthy Bangkok remote-worker budget","Bangkok cost-of-living calculator (city price basket)","Email capture; planner; sponsored listings","Numbeo/LivingCost (directional); local listings; bot.or.th FX","Low","Quarterly","P1"
"Thailand","Thailand","Bangkok","Remote workers","Everything for first weeks scattered/outdated","'Bangkok First 90 Days' paid pack (bundles checklists/tools/providers)","First paid product (test US$29 vs $49; Pro $49-79; +help $99-149)","Bundles all verified sources; citations + dates","Medium","Quarterly","P1"
"Thailand","Thailand","Bangkok","Families","True all-in international-school cost unknown","Bangkok international school fee calculator & comparison","School-admission leads; sponsored school listings","isat.or.th; school fee pages; iSchoolAdvisor","Medium","Annual","P2"
"Thailand","Thailand","Bangkok","Families","Cannot match housing to school amid Bangkok traffic","School <-> neighborhood commute matcher (BTS/MRT + bus vs car)","Property/rental agent lead-gen; serviced apartments","bts.co.th; mrta.co.th; school bus zones; listings","Low","Quarterly","P2"
"Portugal (future)","Portugal","Lisbon","Remote workers","(Schema exemplar) visa/tax/arrival rules for a non-Thailand destination","Same global tools/pages instantiated with Portuguese rules/data","Insurance/eSIM/VPN affiliate; visa lead-gen","Portugal official visa/tax portals (to be sourced); eu mobility sources","High","Not started","P4-backlog"
