"name","platform_or_domain","result","existing_owner_or_use","source_url","checked_at","confidence","conflict_level","notes"
"AbroadMate","domain .com","already_in_use","Parked premium domain for sale via HugeDomains - listed price US$3,595 (or 24x $149.79); NameBright nameservers; no active product. NOT available free.","https://www.hugedomains.com/domain_profile.cfm?d=abroadmate.com","2026-08-28","high","possible_conflict","Domain is a commercial listing, not a live competitor, but the .com is unavailable at normal cost; buying does not clear trademark risk."
"AbroadMate","domain .co.uk","available_to_check","No NS/SOA record via Google DoH (NXDOMAIN) - appears unregistered.","https://dns.google/resolve?name=abroadmate.co.uk&type=NS","2026-08-28","medium","available_to_check","DNS indicates free, but .uk availability can change and this is not a registrar confirmation; recheck before purchase."
"AbroadMate","domain .io","available_to_check","NXDOMAIN via DoH - appears unregistered.","https://dns.google/resolve?name=abroadmate.io&type=NS","2026-08-28","medium","available_to_check","Appears free; recheck at registrar."
"AbroadMate","domain .app","available_to_check","NXDOMAIN via DoH - appears unregistered.","https://dns.google/resolve?name=abroadmate.app&type=NS","2026-08-28","medium","available_to_check","Appears free; .app requires HTTPS."
"AbroadMate","domain .org","available_to_check","NXDOMAIN via DoH - appears unregistered.","https://dns.google/resolve?name=abroadmate.org&type=NS","2026-08-28","low","available_to_check","Not a preferred commercial TLD."
"AbroadMate","domain .co","already_in_use","Registered; SOA present; A record 76.76.21.21 (Vercel hosting).","https://dns.google/resolve?name=abroadmate.co&type=NS","2026-08-28","medium","possible_conflict","Taken; holder/site content not verified."
"AbroadMate","domain .me","already_in_use","Registered; A record 216.198.79.1 (parking/landing).","https://dns.google/resolve?name=abroadmate.me&type=NS","2026-08-28","medium","possible_conflict","Taken/parked."
"AbroadMates (plural)","domain .com","already_in_use","ACTIVE company: 'AbroadMates' / The Abroad Company - study-abroad 1:1 mentorship marketplace (book mentor calls; 'Talk to your AbroadMate'), country editions incl. ThailandMates, study-in-thailand; expanding into visa assistance and RELOCATION support. Google Cloud DNS.","https://www.abroadmates.com/","2026-08-28","high","possible_conflict","Direct near-identical brand (singular/plural), overlapping audience (cross-border movers), explicit relocation/visa expansion. Strong confusion/conflict risk."
"ThailandMate","domain .com","already_in_use","ACTIVE business: Korean-operated Thailand local-booking guide ('Find and book Thailand restaurants, massage, stays, golf, taxis'), 7 languages, 804 businesses, Pattaya/Bangkok focus; NS whoisdomain.kr; hosted on Vercel; google-site-verification TXT.","https://thailandmate.com/","2026-08-28","high","already_in_use","Live travel/local-services brand in the same destination and sector. Direct conflict; name should not be used."
"ThailandMate","domain .net","already_in_use","OLDER live site: 'Thailand Mate' travel info (hotel reviews, insurance, visa content); reports ~15,000 Facebook community (2022 snapshot).","https://thailandmate.net/","2026-08-28","medium","already_in_use","Confirms 'Thailand Mate' is in use by a travel content brand too."
"ThailandMate","domain .co.uk","available_to_check","NXDOMAIN via DoH - appears unregistered.","https://dns.google/resolve?name=thailandmate.co.uk&type=NS","2026-08-28","medium","available_to_check","Free TLD does not cure the .com/.net brand conflict."
"ThailandMate","domain .io","available_to_check","NXDOMAIN via DoH - appears unregistered.","https://dns.google/resolve?name=thailandmate.io&type=NS","2026-08-28","medium","available_to_check","Available but brand still conflicts with the live .com business."
"ThailandMate","domain .app","available_to_check","No record (error on probe; no NS found earlier).","https://dns.google/resolve?name=thailandmate.app&type=NS","2026-08-28","low","unclear","Recheck; secondary TLD."
"ThailandMate","domain .net/.org/.me/.co","unclear",".net already_in_use (above); .org/.me NXDOMAIN or error; .co NXDOMAIN.","https://thailandmate.net/","2026-08-28","medium","possible_conflict","Mixed; primary signal is the two in-use sites."
"AbroadMate / ThailandMate","UK IPO (trademark register)","requires_professional_clearance","No automated register result confirmed in this pass; UK IPO search requires direct query.","https://www.gov.uk/search-for-trademark","2026-08-28","low","requires_professional_clearance","Must be searched on the official register (word + class 35/39/41/42/45) by a professional; not cleared here."
"AbroadMate / ThailandMate","EUIPO (EU TM)","requires_professional_clearance","Not queried against the live register in this pass.","https://www.tmdn.org/tmview/","2026-08-28","low","requires_professional_clearance","Search eSearch plus / TMview for EUTMs before any EU-facing launch."
"AbroadMate / ThailandMate","WIPO Global Brand DB","requires_professional_clearance","Not queried live in this pass; WIPO branddb aggregates Madrid/international marks.","https://branddb.wipo.int/branddb/en/","2026-08-28","low","requires_professional_clearance","Search international registrations designating UK/EU/TH/US."
"AbroadMate / ThailandMate","Thailand DIP (Department of Intellectual Property)","requires_professional_clearance","Official TM search portal confirmed live (search.ipthailand.go.th; 1,314,532 trademark records; Nice classification; Thai first-to-file system) but the word mark was not queried in this pass.","https://search.ipthailand.go.th/","2026-08-28","medium","requires_professional_clearance","Thailand is first-to-file and class-specific; a Thai professional should run the word mark in classes 35/39/41/42/45 and Thai-script equivalents. Important given the live thailandmate.com Thai business."
"AbroadMates (The Abroad Company)","website/company","already_in_use","Study-abroad mentorship platform (founded ~2025; Dhaka/Tokyo per social); active YouTube (@abroadmates), Facebook, LinkedIn; explicitly expanding to visa assistance and relocation.","https://www.abroadmates.com/","2026-08-28","high","possible_conflict","Closest global-name conflict: nearly identical name + expansion into relocation."
"Migrate Mate","website/company + socials","already_in_use","US immigration/visa-sponsored job platform (migratemate.co); has Instagram (@migratemate.co), Twitter, LinkedIn; $29/mo product.","https://migratemate.co/","2026-08-28","medium","possible_conflict","Different word but same '...Mate' + relocation/visa pattern; crowding, not identical."
"Nomadbase / NomadBase","app/website/company","already_in_use","Digital-nomad community platform + mobile apps (nomadbase.com; DN Ventures, Cyprus); Facebook 15k+; retreats/coliving.","https://nomadbase.com/legal/terms","2026-08-28","medium","possible_conflict","Rules out 'NomadBase'; '-base' nomad name is taken in-sector."
"MoverMate / MoveMate / TravelMate","other 'mate' brands","already_in_use","MoverMate (NL moving service), MoveMate (moving-planner app), TravelMate TM (travel audio-guide app) all exist.","https://move-mate.app/","2026-08-28","medium","possible_conflict","'...Mate' in moving/travel is crowded; weakens distinctiveness of any Mate name."
"abroadmate","YouTube @handle","unclear","Instagram/TikTok returned 403 to automated probe (no read); not confirmed.","https://www.youtube.com/@abroadmate","2026-08-28","low","unclear","Verify manually logged out; @abroadmates (plural) is an active channel."
"abroadmates (plural)","YouTube @handle","already_in_use","Active channel 'AbroadMates - advice for study abroad'.","https://www.youtube.com/@abroadmates","2026-08-28","high","possible_conflict","Plural handle owned by the conflicting company."
"thailandmate","YouTube @handle","available_to_check","@thailandmate returns 404 (no such handle) at check.","https://www.youtube.com/@thailandmate","2026-08-28","medium","available_to_check","Handle free, but brand conflicts with live business; do not adopt."
"relocbase (alt)","YouTube @handle","available_to_check","@relocbase returns 404 (no such handle) at check.","https://www.youtube.com/@relocbase","2026-08-28","medium","available_to_check","Encouraging for the alternative name; recheck other platforms manually."
"abroadmate / thailandmate","Instagram, Facebook, TikTok, X, LinkedIn","unclear","Platforms block automated/403 checks; no read obtained. Brand web search surfaced the AbroadMates company pages but not singular-handle ownership.","https://www.instagram.com/","2026-08-28","low","unclear","Must be checked manually, logged out, per platform at decision time; do not assume free."
"RelocBase (alt global)","domain .com/.io/.app/.co/.co.uk","available_to_check","All NXDOMAIN/no-NS via DoH (.com gtld-servers NXDOMAIN, .io nic.io, .app charlestonroadregistry, .co centralnic, .co.uk none).","https://dns.google/resolve?name=relocbase.com&type=NS","2026-08-28","medium","available_to_check","Clean DNS; descriptive, distinctive in-category; professional TM check still required."
"Relocadi (alt global)","domain .com/.io/.app/.co/.net/.co.uk","available_to_check","All NXDOMAIN via DoH incl. .net and .co.uk.","https://dns.google/resolve?name=relocadi.com&type=NS","2026-08-28","medium","available_to_check","Invented/coined word - stronger distinctiveness; verify trademark and meaning in Thai/other languages."
"NewInDesk (alt global)","domain .com/.io/.app/.co.uk","available_to_check","NXDOMAIN/no-NS via DoH.","https://dns.google/resolve?name=newindesk.com&type=NS","2026-08-28","low","available_to_check","Desk/guide connotation; 'newin' readability to check."
"SettleAbroad (alt)","domain .com","already_in_use",".com registered (Afternic nameservers - likely parked/for sale); .io/.app NXDOMAIN.","https://dns.google/resolve?name=settleabroad.com&type=NS","2026-08-28","medium","possible_conflict","Treat as .com taken."
"ArribaGo (alt)","domain .com","already_in_use",".com registered (AWS DNS); .io/.app NXDOMAIN.","https://dns.google/resolve?name=arribago.com&type=NS","2026-08-28","low","possible_conflict",".com taken; 'arriba' common word."
"AwayBase (alt)","domain .com/.io","already_in_use",".com registered (Afternic/parked); .io registered (Google DNS).","https://dns.google/resolve?name=awaybase.com&type=NS","2026-08-28","low","possible_conflict","Both primary TLDs taken."
"LandingPad (alt)","domain .com/.app","already_in_use",".com registered; .app registered (Google DNS); generic phrase.","https://dns.google/resolve?name=landingpad.com&type=NS","2026-08-28","low","possible_conflict","Generic and taken; weak."
"ThaiBase (destination alt)","domain .com","already_in_use",".com registered (Afternic/parked); 'base' nomad space also crowded by Nomadbase.","https://dns.google/resolve?name=thaibase.com&type=NS","2026-08-28","low","possible_conflict","Not recommended."
