"claim_id","statement","destination_scope","audience","source_url","source_type","last_checked","risk_level","publish_status","review_frequency"
"C001","Thailand long-stay/remote-work visa options (incl. DTV) and entry requirements are set by Thai authorities; applications and rules are handled via the official e-visa/arrival systems.","Thailand","All","https://www.thaievisa.go.th/","official","2026-08-28","high","needs_verification","quarterly"
"C002","The Long-Term Resident (LTR) visa criteria and benefits are defined by the Thailand Board of Investment.","Thailand","All","https://ltr.boi.go.th/","official","2026-08-28","high","needs_verification","semi-annual"
"C003","Thai tax residency is based on physical presence and foreign-income treatment is administered by the Thai Revenue Department; rules and their application change and are not advice.","Thailand","All","https://www.rd.go.th/","official","2026-08-28","high","do_not_publish_as_advice","quarterly"
"C004","Whether a foreigner can open a Thai bank account depends on visa type and each bank's current KYC policy; banks publish their own terms.","Thailand","All","https://www.kasikornbank.com/en/personal/account/pages/savings.aspx","official_primary_secondary","2026-08-28","high","needs_verification","quarterly"
"C005","Retirement-route (50+) financial requirements and O/O-A processes are defined by Thai immigration/consular authorities and vary by post.","Thailand","Retirees","https://www.thaievisa.go.th/visa/retirement","official","2026-08-28","high","needs_verification","quarterly"
"C006","Insurance required for certain long-stay/retirement visas must meet regulator criteria; the Office of Insurance Commission and the long-stay insurer list are the official references.","Thailand","All","https://www.oic.or.th/","official","2026-08-28","high","do_not_publish_as_advice","quarterly"
"C007","Thailand operates a digital arrival card (TDAC) completed before entry via the immigration portal.","Thailand","All","https://tdac.immigration.go.th/","official","2026-08-28","medium","needs_verification","quarterly"
"C008","Thailand has an address-notification requirement (TM30) handled by the host/landlord/immigration.","Thailand","All","https://tm30.immigration.go.th/","official","2026-08-28","medium","needs_verification","quarterly"
"C009","Certain long-stay holders must report their address every 90 days (TM47) via the immigration portal.","Thailand","All","https://tm47.immigration.go.th/","official","2026-08-28","medium","needs_verification","quarterly"
"C010","Thai SIM/eSIM registration requires passport ID verification under NBTC rules; AIS and True/dtac are the main mobile operators.","Thailand","All","https://www.nbtc.go.th/","official","2026-08-28","low","ok","semi-annual"
"C011","Bangkok has BTS Skytrain and MRT underground metro services with stored-value cards.","Thailand/Bangkok","All","https://www.bts.co.th/","official","2026-08-28","low","ok","semi-annual"
"C012","An Airport Rail Link connects Suvarnabhumi (BKK) airport to the city rail network.","Thailand/Bangkok","All","https://www.airportthai.co.th/","official","2026-08-28","low","ok","annual"
"C013","Ride-hailing (e.g., Grab) and LINE (dominant messaging) apps are widely used in Bangkok for transport and everyday services.","Thailand/Bangkok","All","https://line.me/","primary_secondary","2026-08-28","low","ok","annual"
"C014","Thailand's national emergency/medical assistance numbers exist (e.g., medical emergency 1669); tourist police provide English assistance.","Thailand","All","https://www.moph.go.th/","official","2026-08-28","medium","needs_verification","annual"
"C015","Bangkok has numerous internationally accredited private hospitals offering English-speaking care and often insurer direct billing.","Thailand/Bangkok","All","https://hss.moph.go.th/","official","2026-08-28","low","ok","semi-annual"
"C016","Crowd-sourced cost-of-living indices (Numbeo/LivingCost) exist for Bangkok and are usable only as directional cross-checks, not quotes.","Thailand/Bangkok","All","https://www.numbeo.com/cost-of-living/","secondary","2026-08-28","low","ok","quarterly"
"C017","The Bank of Thailand publishes official daily FX (THB) reference rates for currency conversion.","Thailand","All","https://www.bot.or.th/English","official","2026-08-28","low","ok","automated_feed"
"C018","Official real-time air-quality (AQI/PM2.5) data for Bangkok is published by the Pollution Control Department (Air4Thai).","Thailand/Bangkok","All","http://air4thai.pcd.go.th/","official","2026-08-28","low","ok","live_seasonal"
"C019","The International Schools Association of Thailand (ISAT) maintains a directory of member international schools; fees are set per school.","Thailand/Bangkok","Families","https://www.isat.or.th/","official_primary_secondary","2026-08-28","medium","needs_verification","annual"
"C020","Mobile operators market tourist SIM and eSIM plans with varying data/price; specific prices must be checked at purchase.","Thailand","All","https://www.ais.th/en/","primary_secondary","2026-08-28","low","needs_verification","semi-annual"
"C021","Home fixed broadband plans in Thailand are offered by major telecoms; speed/price to be confirmed per address/operator.","Thailand","All","https://www.true.th/","primary_secondary","2026-08-28","low","needs_verification","semi-annual"
"C022","Licensed cross-border money-transfer services (e.g., Wise/DeeMoney) exist for moving funds; fees and eligibility vary.","Thailand","All","https://wise.com/","commercial","2026-08-28","low","ok","annual"
"C023","A possible shortening of visa-exempt entry length has been reported by secondary media but is NOT officially confirmed.","Thailand","All","https://www.thaievisa.go.th/","secondary","2026-08-28","high","do_not_publish","quarterly"
"C024","Bangkok has multiple coworking spaces; availability, Wi-Fi quality and rates must be verified per venue.","Thailand/Bangkok","Remote workers","https://thehive.co.th/","commercial","2026-08-28","low","needs_verification","semi-annual"
