"name","check_type","platform_or_domain","result","existing_owner_or_use","source_url","checked_at","confidence","notes"
"ShiftShores","dns","shiftshores.com","likely_available","NXDOMAIN / no NS via Google DoH (DNS screen only, not registry confirmation).","https://dns.google/resolve?name=shiftshores.com&type=NS","2026-08-29","medium","Exact .com likely free; recheck at registrar within 7 days."
"ShiftShores","dns","shiftshores.co.uk","likely_available","No NS/NXDOMAIN via DoH.","https://dns.google/resolve?name=shiftshores.co.uk&type=NS","2026-08-29","medium","Likely free; registrar recheck required."
"ShiftShores","dns","shiftshores.io","likely_available","No NS/NXDOMAIN via DoH.","https://dns.google/resolve?name=shiftshores.io&type=NS","2026-08-29","medium","Likely free; registrar recheck required."
"ShiftShores","dns","shiftshores.app","likely_available","No NS/NXDOMAIN via DoH.","https://dns.google/resolve?name=shiftshores.app&type=NS","2026-08-29","medium","Likely free; .app requires HTTPS."
"ShiftShores","dns","shiftshores.co / .net / .asia / .co.th","likely_available","No NS/NXDOMAIN via DoH for each.","https://dns.google/resolve?name=shiftshores.co&type=NS","2026-08-29","medium","All returned no records; .co.th needs Thai registrant requirements (verify)."
"Shift Shores (hyphen)","dns","shift-shores.com / shift-shores.co.uk","likely_available","No NS/NXDOMAIN via DoH.","https://dns.google/resolve?name=shift-shores.com&type=NS","2026-08-29","medium","Hyphenated variant likely free; hyphens are weak for a brand domain."
"Shifting Shores (variant)","dns","shiftingshores.com","parked","Registered; resolves to SEDO domain-parking page ('Resources and Information').","https://shiftingshores.com/","2026-08-29","high","The phrase variant is owned/parked; signals the phrase has aftermarket value."
"Shifting Shores (variant)","dns","shifting-shores.com","likely_available","No NS/NXDOMAIN via DoH.","https://dns.google/resolve?name=shifting-shores.com&type=NS","2026-08-29","medium","Likely free."
"LandAndLaunch","dns","landandlaunch.com","likely_available","NXDOMAIN/no NS via DoH.","https://dns.google/resolve?name=landandlaunch.com&type=NS","2026-08-29","medium","Exact .com likely free; registrar recheck."
"LandAndLaunch","dns","landandlaunch.co.uk","likely_available","No NS/NXDOMAIN via DoH.","https://dns.google/resolve?name=landandlaunch.co.uk&type=NS","2026-08-29","medium","Likely free."
"LandAndLaunch","dns","landandlaunch.io","likely_available","No NS/NXDOMAIN via DoH.","https://dns.google/resolve?name=landandlaunch.io&type=NS","2026-08-29","medium","Likely free."
"LandAndLaunch","dns","landandlaunch.app","likely_available","No NS/NXDOMAIN via DoH.","https://dns.google/resolve?name=landandlaunch.app&type=NS","2026-08-29","medium","Likely free."
"LandAndLaunch","dns","landandlaunch.co / .net / .asia / .co.th","likely_available","No NS/NXDOMAIN via DoH for each.","https://dns.google/resolve?name=landandlaunch.co&type=NS","2026-08-29","medium","All no records; .co.th registrant rules to verify."
"Land and Launch (hyphen)","dns","land-and-launch.com / land-and-launch.co.uk","likely_available","No NS/NXDOMAIN via DoH.","https://dns.google/resolve?name=land-and-launch.com&type=NS","2026-08-29","medium","Likely free; hyphen weak."
"Launch & Land (reversed)","dns","launchandland.com","already_in_use","ACTIVE business: 'Launch + Land', Minneapolis web design & development agency (Webflow; small-business websites; $8-30k builds).","https://www.launchandland.com/","2026-08-29","high","Reversed-word variant is a live web-dev company; reverse-order confusion risk for a web product in class 42."
"Launch & Land (reversed)","dns","launchandland.co.uk / .io","likely_available","No NS/NXDOMAIN via DoH.","https://dns.google/resolve?name=launchandland.co.uk&type=NS","2026-08-29","medium","The .com agency is the concern regardless."
"LandLaunch (condensed)","dns","landlaunch.com","parked","Registered; GoDaddy/ DomainControl nameservers (parked).","https://dns.google/resolve?name=landlaunch.com&type=NS","2026-08-29","medium","Condensed variant held/parked."
"ShiftShores","social_youtube","youtube.com/@shiftshores","likely_available","404 - handle not present at check.","https://www.youtube.com/@shiftshores","2026-08-29","medium","Verify logged out before relying."
"LandAndLaunch","social_youtube","youtube.com/@landandlaunch","likely_available","404 - handle not present at check.","https://www.youtube.com/@landandlaunch","2026-08-29","medium","Verify logged out; check @launchandland too (web agency may hold it)."
"ShiftShores / LandAndLaunch","social_instagram","Instagram handles","requires_manual_check","403 to automated probe - not readable.","https://www.instagram.com/shiftshores/","2026-08-29","low","Check manually logged out for @shiftshores and @landandlaunch."
"ShiftShores / LandAndLaunch","social_tiktok","TikTok handles","requires_manual_check","403 to automated probe.","https://www.tiktok.com/@shiftshores","2026-08-29","low","Check manually logged out."
"ShiftShores / LandAndLaunch","social_facebook","Facebook pages","requires_manual_check","Not readable automatically.","https://www.facebook.com/","2026-08-29","low","Check facebook.com/shiftshores and /landandlaunch manually."
