"provider","official_pricing_url","official_privacy_or_data_terms_url","free_tier_or_monthly_cost","transaction_fees","email_capture","unsubscribe_support","presale_support","refund_support","analytics_or_events","cookie_behavior","data_residency_notes","integration_difficulty","last_checked","verification_status"
"Brevo","https://www.brevo.com/pricing","https://www.brevo.com/legal/privacypolicy/","Free forever, no credit card (official pricing page fetched 2026-08-28): forms, basic reporting; free daily send cap ~300 emails/day with Brevo branding (per official transactional-email page). Starter $9/mo monthly or $8.08 annual from 5,000 emails; the official plan builder shows a 500-contact cap at the lowest paid tier (unlimited at higher tiers) - confirm for list size.","not_applicable (email/SMS platform; SMS and add-ons metered separately - verify)","yes - signup forms, landing pages, API/SMTP","yes - standard one-click unsubscribe in campaign tooling; confirm list-unsubscribe header at setup","no - not a payment processor","not_applicable","email open/click/engagement reporting only; not website analytics","cookies/local storage may be set by Brevo-hosted forms or landing pages if used; embedded forms on own domain require disclosure - verify current behaviour","Official product page states data hosting in France and Germany (EU), ISO 27001, GDPR/CCPA/CASL claims. DPA still to be reviewed; jurisdiction suitability NOT assessed.","easy (embedded forms/plugins; SMTP/API for custom builds)","2026-08-28","official_pricing_page_confirmed_2026-08-28"
"Kit (ConvertKit)","https://kit.com/pricing","https://kit.com/privacy (verify exact path)","Official pricing page fetched 2026-08-28: Free $0 up to 10,000 subscribers - unlimited landing pages/forms, unlimited broadcasts, tagging/segmentation, sell digital products & subscriptions listed, 1 automation. Creator $33/mo billed annually ($390/yr; ~$39 monthly) at 1,000 subs (unlimited automations/sequences, remove branding); Pro $66/mo annual. 14-day trial, no card.","not_applicable for email; Kit Commerce payment fees apply only if built-in selling is used - verify separately","yes - forms and landing pages, creator-focused","yes - mandatory unsubscribe handling and list-unsubscribe; confirm current settings","limited - free plan lists sell digital products/subscriptions (Kit Commerce); NOT a merchant of record for sales tax - tax is seller's responsibility; verify terms before using","refunds for Kit Commerce handled via its payments integration (Stripe-backed); verify current terms","email engagement analytics; subscriber tags/segments","embedded forms and Kit-hosted pages may set cookies; disclose if used on site","US company (ConvertKit, LLC / Kit). DPA and data-processing terms available; EU data handling and sub-processors must be reviewed - no residency conclusion made here","easy (hosted forms/landing pages) to moderate (API)","2026-08-28","official_pricing_page_confirmed_2026-08-28"
"MailerLite","https://www.mailerlite.com/pricing","https://www.mailerlite.com/legal/privacy-policy","Free plan $0: up to 250 active subscribers and 2,500 emails/month from 1 July 2026 (cut from 500/12,000); caps at 3 automations, 3 forms, 1 landing page, 1 website, 2 user seats (multiple 2026 sources; one reports the 250 figure verified on the official pricing page 12 Aug 2026). Paid Comfort from ~$12/mo, Power from ~$25/mo. [RE-CHECK official pricing page]","not_applicable (email platform)","yes - signup forms, pop-ups, landing pages, website builder","yes - one-click unsubscribe standard; confirm at setup","limited - free tier includes 1 digital product/booking page; platform is primarily email, not a payment processor - verify fees and terms before selling","not_applicable for email-only use","campaign open/click reporting; A/B testing on all tiers per source","embedded forms and MailerLite-hosted pages may set cookies; disclose in privacy notice","Founded in Lithuania; provider states EU servers and GDPR compliance. Verify current hosting locations and DPA; no jurisdiction-suitability conclusion made","easy (forms/landing pages) to moderate (API)","2026-08-28","aggregators_consistent__official_page_NOT_fetched_this_round__recheck_before_signup"
"Lemon Squeezy","https://www.lemonsqueezy.com/pricing","https://www.lemonsqueezy.com/privacy","$0 monthly ecommerce charges (official pricing page fetched 2026-08-28). 2026 page announces 'Lemon Squeezy + Stripe Managed Payments' update - read before signup.","OFFICIAL 2026-08-28: 5% + 50c per transaction, no monthly fee; footnote that some payments may incur additional fees (international/PayPal/subscription surcharges per docs). Merchant of Record - automated sales tax/VAT; up to ~21 payment methods.","no - checkout/payments platform (collects customer billing email from purchases; must NOT be treated as marketing consent)","not_applicable - transactional receipts only, not a bulk email tool","yes - hosted product/checkout links for digital products and subscriptions; pre-order/presale support must be verified on current features","refunds issued by seller via dashboard; MoR handles payment flow; seller sets refund policy within LS terms - verify current refund mechanics and fee treatment","sales dashboard and webhooks/API; not site analytics","checkout runs on lemonsqueezy.com domains and sets payment/analytics cookies; embeds may load scripts - disclose in privacy notice and gate under consent where required","US company; acquired by Stripe in 2024. MoR contracting entity and data locations vary; review DPA and terms - no tax/legal conclusion made","easy (hosted checkout links) to moderate (API/webhooks for automation)","2026-08-28","official_pricing_page_confirmed_2026-08-28"
"Gumroad","https://gumroad.com/pricing","https://gumroad.com/privacy","$0 monthly fee (official pricing page fetched 2026-08-28).","OFFICIAL 2026-08-28: 10% + $0.50 per transaction for sales through profile or direct links; 30% per transaction when a NEW customer finds/buys via the Discover marketplace. Earlier aggregator conflict (flat 10% vs 10%+processing) is superseded by the official page; card-processing treatment within/on top of 10%+50c to be confirmed at setup. Merchant of Record since 1 Jan 2025 (Gumroad states it handles worldwide sales tax/VAT collection and remittance).","limited - built-in followers/audience email list tied to sales; not a full email-marketing tool","yes - unsubscribe for audience emails; verify current behaviour","yes - simple hosted sales pages for digital products; subscriptions/memberships supported; native pre-order support unverified - check","seller-issued refunds via dashboard; historical sources state platform fees are not fully returned on refunds - verify current terms before publishing refund promises","sales/audience dashboard; limited event data","hosted on gumroad.com; checkout and any on-site embeds/pixels set cookies - disclose and gate as required","US company (Gumroad, Inc.). Review terms/DPA; MoR status and tax handling vary by product setup - no legal conclusion made","very easy (hosted product pages, no code) to moderate (API)","2026-08-28","official_pricing_page_confirmed_2026-08-28__conflict_resolved"
"Stripe Payment Links","https://stripe.com/pricing (Payment Links: https://stripe.com/payment-links)","https://stripe.com/privacy","$0 monthly fee on standard pricing; pay per transaction. Official Stripe pricing pages (fetched via search 2026-08-28) show US cards 2.9% + $0.30 per successful transaction; +1.5% international cards; +1% if currency conversion required; disputes $15. UK/EU local rates differ (e.g. UK ~1.5% + 20p reported) - check the GB pricing page for actual AbroadMate rate.","2.9% + $0.30 domestic card (US; official page); regional rates vary; international +1.5%; FX conversion +1%; optional Stripe Tax/Billing are separate paid products","no - collects billing email at checkout only; using purchase emails for marketing requires separate lawful basis/consent","not_applicable (no bulk email; receipts are transactional)","yes - no-code Payment Links for one-time charges can collect presale payments; YOU are the merchant of record - sales tax/VAT registration and remittance are your responsibility (Stripe Tax is a paid add-on, not automatic)","refunds issued from Dashboard; fee treatment on refunds varies by country - verify on local terms before promising refund timing","payments reporting, webhooks/events; not site analytics","Stripe.js and Checkout set cookies/fraud-detection signals; disclose in privacy notice; Payment Links are hosted on Stripe domains","US company (Stripe, Inc.); global infrastructure; DPA available; data-residency options largely enterprise - review for your jurisdictions","easy (no-code Payment Links) to developer (Stripe.js, webhooks, tax setup)","2026-08-28","official_pricing_pages_confirmed_via_search_snippet__regional_rate_recheck_required"
"Cloudflare Web Analytics","https://www.cloudflare.com/web-analytics/ (docs: https://developers.cloudflare.com/web-analytics/)","https://www.cloudflare.com/privacypolicy/","Free (official product + docs pages fetched 2026-08-28): privacy-first analytics via JS beacon or edge; no DNS/proxy change required.","none","no","not_applicable","no","not_applicable","page views, visits, referrers, country, device, Core Web Vitals (RUM via Performance API). NO funnels, NO custom events, NO individual user journeys, NO revenue attribution","OFFICIAL: uses no client-side state (no cookies, no localStorage), no fingerprinting via IP/User-Agent, no cross-site tracking; does not collect visitors' personal data. No custom events/funnels/revenue attribution. Banner typically not required for this tool but it must still be named in the privacy notice; legal applicability per jurisdiction not assessed.","Metrics processed on Cloudflare's global network (US-headquartered). Aggregate data only per provider; review DPA - no residency commitment assumed","very easy (one JS snippet, or automatic if site proxied via Cloudflare)","2026-08-28","official_product_and_docs_confirmed_2026-08-28"
"Umami","https://umami.is/pricing","https://umami.is/privacy","Official pricing page fetched 2026-08-28: Hobby $0 = up to 100K events/month, 1 website, 6-month retention, community support. Pro $20/mo = 1M events, up to 20 sites, 2-year retention, API/goals/funnels. Business $200/mo. Self-host free under MIT.","none (self-host); Cloud usage above Hobby is metered per event","no","not_applicable","no","not_applicable","cookieless page/event analytics with custom events and goals; salted-hash visitor IDs (server-side, rotating); no cross-site tracking","OFFICIAL FAQ: no cookies, no personal data collected, no cross-site tracking; GDPR/CCPA compliant; states no cookie banner required (provider claim - reviewer to confirm applicability). Cookieless with salted-hash visitor IDs; supports custom events/goals.","Official FAQ: Umami Cloud servers in US and EU; data exportable, no vendor lock-in. Self-host = infrastructure you choose. DPA to be reviewed.","easy for Cloud (snippet); moderate for self-host (Docker + Postgres, backups, updates are your responsibility)","2026-08-28","official_pricing_page_confirmed_2026-08-28"
"PostHog","https://posthog.com/pricing (web analytics: https://posthog.com/web-analytics/pricing)","https://posthog.com/privacy","Official pricing page (fetched via search 2026-08-28): first 1,000,000 analytics events/month free; then from $0.0000500/event (anonymous events ~10x cheaper), volume step-downs. Free tier also includes 5,000 session recordings, 1M feature-flag requests, 250 surveys. No credit card for free tier.","none below free quotas; usage-based metering above","no (product analytics; surveys can capture emails only if explicitly configured - keep minimal PII)","not_applicable","no","not_applicable","product analytics, funnels, retention, paths, session replay, feature flags, surveys; web analytics billed as product events. Instrument ONLY minimal, non-sensitive events (measurement rule)","Cookieless mode supported (server-side salted hash). Default deployment may use local storage/cookies and session replay CAN capture PII - enable masking, disable replay unless needed, configure cookieless where possible, and disclose","US company; US and EU cloud regions reported; self-host option; SOC 2 and DPA - verify region availability and terms for your use case","moderate (snippet plus event instrumentation; replay/PII configuration required before launch)","2026-08-28","official_pricing_page_confirmed_via_search_snippet"
"CookieYes","https://www.cookieyes.com/pricing","https://www.cookieyes.com/privacy-policy/","Free plan $0: 1 domain, 5,000 pageviews/month for sites created on/after 1 Jul 2025 (official documentation; 15,000 grandfathered for older sites); banner, auto-blocking, consent logs, basic Google Consent Mode; banner SUSPENDS at cap unless extra pageviews enabled ($0.30 per extra 1,000). Paid Basic ~$10/mo (100k PV), Pro ~$25/mo (300k, geo-targeting), Ultimate ~$55/mo (unlimited, branding removal).","none for consent service; pageview overage $0.30/1,000 if enabled","no (consent platform)","not_applicable","no","not_applicable","consent records/logs and acceptance-rate dashboard; not marketing analytics","Sets a strictly-necessary consent-choice cookie; blocks non-essential scripts until consent; supports Google Consent Mode. Geo-targeting (region-specific rules) only on Pro+ - free shows one banner model worldwide","Provider-operated consent log storage; company location and data region to be verified in DPA - do not assume EU hosting","easy (one script + auto-blocking; WordPress/Shopify plugins)","2026-08-28","official_documentation_confirmed__paid_tier_prices_from_aggregators"
